objectType,theta,positionX,positionY,positionZ,objectParameter1,objectParameter2,objectParameter3,objectParameter4
icoSphere,0,-1.101,-1.101,-1.101,4,0.1,0.1,0.1
icoSphere,0,0.0,-1.101,-1.101,4,0.1,0.1,0.1
icoSphere,0,1.101,-1.101,-1.101,4,0.1,0.1,0.1
icoSphere,0,-1.101,0.0,-1.101,4,0.1,0.1,0.1
icoSphere,0,1.101,0.0,-1.101,4,0.1,0.1,0.1
icoSphere,0,-1.101,1.101,-1.101,4,0.1,0.1,0.1
icoSphere,0,0.0,1.101,-1.101,4,0.1,0.1,0.1
icoSphere,0,1.101,1.101,-1.101,4,0.1,0.1,0.1
icoSphere,0,-1.101,-1.101,0.0,4,0.1,0.1,0.1
icoSphere,0,1.101,-1.101,0.0,4,0.1,0.1,0.1
icoSphere,0,-1.101,1.101,0.0,4,0.1,0.1,0.1
icoSphere,0,1.101,1.101,0.0,4,0.1,0.1,0.1
icoSphere,0,-1.101,-1.101,1.101,4,0.1,0.1,0.1
icoSphere,0,0.0,-1.101,1.101,4,0.1,0.1,0.1
icoSphere,0,1.101,-1.101,1.101,4,0.1,0.1,0.1
icoSphere,0,-1.101,0.0,1.101,4,0.1,0.1,0.1
icoSphere,0,1.101,0.0,1.101,4,0.1,0.1,0.1
icoSphere,0,-1.101,1.101,1.101,4,0.1,0.1,0.1
icoSphere,0,0.0,1.101,1.101,4,0.1,0.1,0.1
icoSphere,0,1.101,1.101,1.101,4,0.1,0.1,0.1
icoSphere,1,0.0,0.0,0.0,9,1.0,1.0,1.0
